RS1	RS2	RS3	sampleIDs	Pop
SPT53625	0.298977435253162	-0.0229409675014142	0.50358045201821	SPT53625	Pop1966_71
SPT53626	-1.48462107808737	0.198647501862759	0.192377849795507	SPT53626	Pop1966_71
SPT53627	0.285506059244871	-0.0130828871960299	0.492210932391422	SPT53627	Pop1966_71
SPT53628	-1.06317760382858	0.100620754376362	0.0255314818953255	SPT53628	Pop1966_71
SPT53629	-0.357183301511451	-0.032476001240664	0.0854476579710129	SPT53629	Pop1966_71
SPT53630	-1.66255093543891	0.389316380239877	0.217539810363313	SPT53630	Pop1966_71
SPT53631	-1.88714317461388	0.198894727112325	0.250931444565142	SPT53631	Pop1966_71
SPT53632	0.308180456234141	-0.122159714018863	0.371274851462249	SPT53632	Pop1966_71
SPT53633	-1.83202901728291	0.184746221890798	-0.430767022610783	SPT53633	Pop1966_71
SPT53634	-1.08249038799737	0.174740591848428	0.12937250444699	SPT53634	Pop1966_71
SPT53635	0.321781445058798	0.18551981001609	0.299625839428441	SPT53635	Pop1966_71
SPT53636	-1.88979759369274	0.27325759496626	-0.0182902867705508	SPT53636	Pop1966_71
SPT53637	-0.693868629575865	0.143063808012977	0.0754093440620844	SPT53637	Pop1966_71
SPT53638	-0.531344558622785	-0.0832696385577084	0.119941463884744	SPT53638	Pop1966_71
SPT53641	-2.49186240179074	0.278426423358014	-0.477814712316486	SPT53641	Pop1966_71
SPT53642	-2.37393339835407	0.197016899721245	-0.518923434936379	SPT53642	Pop1966_71
SPT53643	-2.71536563400029	0.157885578275219	-0.579621888513565	SPT53643	Pop1966_71
SPT53644	-2.06107744853061	0.146629787638941	-0.573788784820849	SPT53644	Pop1966_71
SPT53647	-0.78380270041932	0.231395059275427	0.106576403661325	SPT53647	Pop1966_71
SPT53648	-1.96179574949865	0.176391243672131	-0.222474107957707	SPT53648	Pop1966_71
SPT53649	0.247986836748017	0.0955577620632221	0.236119484643714	SPT53649	Pop1966_71
SPT53650	-2.6702789678385	0.412075088187953	-0.0696877299731761	SPT53650	Pop1966_71
SPT53651	0.372219944510451	-0.0184568949583829	0.541962552616923	SPT53651	Pop1966_71
SPT53652	-1.71371573765804	0.133176854375559	0.342106066708242	SPT53652	Pop1966_71
SPT53654	-0.76196271245663	0.180129526560295	-0.0252695853363727	SPT53654	Pop1966_71
SPT53655	-1.21711821928988	0.0818637070927806	-0.127005747745129	SPT53655	Pop1966_71
SPT53656	0.450246334707875	-0.0608501724658425	0.521551588941473	SPT53656	Pop1966_71
SPT53658	-0.434396485655325	0.170439076622184	0.227073703010649	SPT53658	Pop1966_71
SPT53659	0.297505602193789	-0.0103024508740817	0.0326781511403073	SPT53659	Pop1966_71
SPT53660	0.3341058694511	0.257573192648996	0.207766587421445	SPT53660	Pop1966_71
SPT53661	-1.16633857657184	-0.0913761105847699	-0.0642444395948368	SPT53661	Pop1966_71
SPT53662	-1.47622304637272	0.291076228435849	0.169060605650387	SPT53662	Pop1966_71
SPT53663	-1.40512515614168	0.224630540931717	-0.123045545482477	SPT53663	Pop1966_71
SPT53664	-1.87554401681938	0.109472723131436	-0.405310728433866	SPT53664	Pop1966_71
SPT53665	-1.55955863691711	0.00114336238761923	-0.254135575105829	SPT53665	Pop1966_71
SPT53666	-1.36837874935066	0.100563240990957	0.264683955484884	SPT53666	Pop1966_71
SPT53667	-0.125948339792678	-0.00318005754443424	0.4387335588713	SPT53667	Pop1966_71
SPT53668	-0.875523388443855	0.0373416548832441	0.108185462040525	SPT53668	Pop1966_71
SPT53669	-1.6628957840759	0.133653525526189	-0.0471533320867973	SPT53669	Pop1966_71
SPT53670	-0.295964049490245	0.021877048926721	0.145929738466201	SPT53670	Pop1966_71
SPT53671	-1.22173297213576	0.0385762090716131	-0.164401456565121	SPT53671	Pop1966_71
SPT53672	0.338751437087722	0.210084715963812	0.131952592479671	SPT53672	Pop1966_71
SPT53673	-1.65532716273385	-0.00532035411038321	0.212367216240626	SPT53673	Pop1966_71
SPT53674	0.329083629831428	0.0127485869490051	0.165017348321833	SPT53674	Pop1966_71
SPT53676	-0.992486642110556	0.100083744949174	-0.0693918102376142	SPT53676	Pop1966_71
SPT53677	0.320476529680267	-0.18591226007552	0.325507855512224	SPT53677	Pop1966_71
SPT53678	-1.66193591919499	0.134523885880079	-0.222297648348897	SPT53678	Pop1966_71
SPT53679	-2.50600276560289	0.286337912475666	-0.281087892041772	SPT53679	Pop1966_71
SPT53680	0.2733392668737	-0.00709640976405648	0.0694392194801203	SPT53680	Pop1966_71
SPT53681	-1.09805975255122	0.112112965787697	-0.344216148340813	SPT53681	Pop1966_71
SPT53682	0.330003271821826	-0.0498619582920973	0.264427584315651	SPT53682	Pop1966_71
SPT53683	0.333518870095841	0.15412250864291	0.41235856440166	SPT53683	Pop1966_71
SPT53684	0.288307590576707	-0.103592603167094	0.380615746831893	SPT53684	Pop1966_71
SPT53685	-2.02057702536457	0.313763498880556	0.105244870935895	SPT53685	Pop1966_71
SPT35202	-0.563685855616566	-0.474048145535626	-0.188786445228474	SPT35202	Pop2015
SPT35204	0.537675024728935	0.107133891854268	0.486738693036315	SPT35204	Pop2015
SPT35206	1.11120583465497	3.94304805502528	-1.58236948524577	SPT35206	Pop2015
SPT35207	-0.110547762258615	-0.665994068479609	0.745909929248748	SPT35207	Pop2015
SPT35208	0.947340028133217	-0.538345746991037	-0.6947834425275	SPT35208	Pop2015
SPT35209	0.74367667445877	-0.428024749150057	0.314071207721056	SPT35209	Pop2015
SPT35210	0.764789309791154	-1.77661868139157	-0.829217181700617	SPT35210	Pop2015
SPT35211	0.455755690997838	-0.216192724381658	0.146799626863071	SPT35211	Pop2015
SPT35212	0.451418604619795	-0.0982473840336951	0.195724925095674	SPT35212	Pop2015
SPT35213	0.649626236931532	-1.02108115032789	0.156896031162493	SPT35213	Pop2015
SPT35214	-0.0778214893608325	-0.423441753396594	0.100726902424661	SPT35214	Pop2015
SPT35216	0.364637741529626	-2.64240710468166	-4.74294141134856	SPT35216	Pop2015
SPT35217	0.80066718468131	-0.262963046877264	0.315882053579824	SPT35217	Pop2015
SPT35218	-0.457305060714133	-2.08319949968125	-2.98608797372227	SPT35218	Pop2015
SPT35219	0.87260364769309	-0.923251799162916	2.18460952817914	SPT35219	Pop2015
SPT35220	0.973844861411697	-2.0080505493252	-3.84489763111853	SPT35220	Pop2015
SPT35221	0.747377010580909	0.0451794445360023	0.180834308161932	SPT35221	Pop2015
SPT35222	1.10636537558303	2.55484234748193	-0.76022028707253	SPT35222	Pop2015
SPT35223	0.675975408438351	-0.73416051338774	-0.203656950690256	SPT35223	Pop2015
SPT35224	1.02977185268475	2.99848983388424	-1.51300210352939	SPT35224	Pop2015
SPT35227	0.576627949860322	-0.401070038312211	1.52189921542093	SPT35227	Pop2015
SPT35228	0.676988563952994	-0.580727634365232	1.23439851444365	SPT35228	Pop2015
SPT35229	0.87339902492254	-0.925556797054362	2.18406805200418	SPT35229	Pop2015
SPT35230	0.725179148740524	0.35652269889201	0.20479313348294	SPT35230	Pop2015
SPT35231	0.600277053390914	-0.163458892852031	0.463402468741035	SPT35231	Pop2015
SPT35232	0.649626236931532	-1.02108115032789	0.156896031162493	SPT35232	Pop2015
SPT35233	0.615088617186486	3.18586234443126	-1.22733248583865	SPT35233	Pop2015
SPT35234	0.738491264134136	-0.631422364091809	0.532458316331199	SPT35234	Pop2015
SPT35236	0.875437669067375	-0.952841602562861	0.184071098852702	SPT35236	Pop2015
SPT35237	0.692680604243983	-0.427891761152959	0.533329036745791	SPT35237	Pop2015
SPT35238	0.385098810335309	-0.0528581225596924	0.61259387491825	SPT35238	Pop2015
SPT35239	0.466703843841485	-0.153058785826354	0.411173401046717	SPT35239	Pop2015
SPT35240	0.0395313420439747	-0.767752668328685	0.771386952782792	SPT35240	Pop2015
SPT35241	0.732585974374915	-0.488308010007444	0.558563016546565	SPT35241	Pop2015
SPT35243	0.21959486865074	-0.792418750279067	0.879784748741579	SPT35243	Pop2015
SPT35244	0.583523988783553	0.080681441957986	0.27684618074781	SPT35244	Pop2015
SPT35245	-0.142591257252066	-0.00320865749140653	0.0427250997628943	SPT35245	Pop2015
SPT35246	0.683146752425566	0.103556737658507	1.27798120835001	SPT35246	Pop2015
SPT35247	0.254824806796746	-1.40964019071991	-2.5930512277511	SPT35247	Pop2015
SPT35248	0.564321752679072	0.0755309866141489	0.37831830055153	SPT35248	Pop2015
SPT35249	0.777323972302	0.187076204169417	0.125659833798651	SPT35249	Pop2015
SPT35250	0.421945590548644	0.5141404896938	-0.0229879698118584	SPT35250	Pop2015
SPT35251	0.685211089512352	-0.359400109611537	0.953688070546887	SPT35251	Pop2015
SPT35252	0.833974630270769	-0.749521358411214	1.24066252246962	SPT35252	Pop2015
SPT35253	0.984789454848736	-1.99874489743016	-3.7899961826912	SPT35253	Pop2015
SPT35254	0.52215796032528	0.0635576725213453	0.198483554052033	SPT35254	Pop2015
SPT35255	0.519638267665929	-0.196082336819817	0.399537322645823	SPT35255	Pop2015
