SampleID	sampleIDcode	study	YearPop	Pop	Year	Country	V14	PopCode	NewPopCode
SPT34839	f84.1	1162-PF-GM-NGWA	Farafenni_1984	Farafenni80s	1984	Gambia	Farafenni80s.1984	f84	pop1
SPT34840	f84.2	1162-PF-GM-NGWA	Farafenni_1984	Farafenni80s	1984	Gambia	Farafenni80s.1984	f84	pop1
SPT34841	f84.3	1162-PF-GM-NGWA	Farafenni_1984	Farafenni80s	1984	Gambia	Farafenni80s.1984	f84	pop1
SPT34844	f84.4	1162-PF-GM-NGWA	Farafenni_1984	Farafenni80s	1984	Gambia	Farafenni80s.1984	f84	pop1
SPT34845	f84.5	1162-PF-GM-NGWA	Farafenni_1984	Farafenni80s	1984	Gambia	Farafenni80s.1984	f84	pop1
SPT34846	f84.6	1162-PF-GM-NGWA	Farafenni_1984	Farafenni80s	1984	Gambia	Farafenni80s.1984	f84	pop1
SPT34848	f84.7	1162-PF-GM-NGWA	Farafenni_1984	Farafenni80s	1984	Gambia	Farafenni80s.1984	f84	pop1
SPT34849	f84.8	1162-PF-GM-NGWA	Farafenni_1984	Farafenni80s	1984	Gambia	Farafenni80s.1984	f84	pop1
SPT34850	f84.9	1162-PF-GM-NGWA	Farafenni_1984	Farafenni80s	1984	Gambia	Farafenni80s.1984	f84	pop1
SPT34851	f84.10	1162-PF-GM-NGWA	Farafenni_1984	Farafenni80s	1984	Gambia	Farafenni80s.1984	f84	pop1
SPT34852	f84.11	1162-PF-GM-NGWA	Farafenni_1984	Farafenni80s	1984	Gambia	Farafenni80s.1984	f84	pop1
SPT34853	f84.12	1162-PF-GM-NGWA	Farafenni_1984	Farafenni80s	1984	Gambia	Farafenni80s.1984	f84	pop1
SPT34854	f84.13	1162-PF-GM-NGWA	Farafenni_1984	Farafenni80s	1984	Gambia	Farafenni80s.1984	f84	pop1
SPT34856	f84.14	1162-PF-GM-NGWA	Farafenni_1984	Farafenni80s	1984	Gambia	Farafenni80s.1984	f84	pop1
SPT34857	f84.15	1162-PF-GM-NGWA	Farafenni_1984	Farafenni80s	1984	Gambia	Farafenni80s.1984	f84	pop1
SPT34858	f84.16	1162-PF-GM-NGWA	Farafenni_1984	Farafenni80s	1984	Gambia	Farafenni80s.1984	f84	pop1
